"id";"ship";"imo";"updated";"lat";"long";"sog";"cog";"hdg";"depPort";"arrPort";"etdSchedule";"etd";"atd";"etaSchedule";"eta";"ata";"travel_time_hours";"departure_delay_hours";"arrival_delay_hours";"departed_on_time";"arrived_on_time";"has_complete_voyage"
4817;Megastar;9773064;"2018-04-06 09:04";59.5511;24.7049;23.5;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:22";1418.86;-1.0;-0.05;on time;on time;complete
4818;Star;9364722;"2018-04-06 09:04";60.0559;24.8965;22.0;1;0;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:21";1417.99;-0.14;-0.03;on time;on time;complete
4819;Megastar;9773064;"2018-04-06 09:05";59.5448;24.7097;23.5;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:29";1418.98;-1.0;0.07;on time;late arrival;complete
4820;Star;9364722;"2018-04-06 09:05";60.0628;24.8968;21.8;0;359;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 10:22";1419.01;-0.14;0.98;on time;late arrival;complete
4821;Megastar;9773064;"2018-04-06 09:06";59.5385;24.7143;23.5;159;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:33";1419.05;-1.0;0.13;on time;late arrival;complete
4822;Star;9364722;"2018-04-06 09:06";60.0695;24.8966;22.1;359;358;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:30";1418.14;-0.14;0.12;on time;late arrival;complete
4823;Megastar;9773064;"2018-04-06 09:07";59.5322;24.719;23.4;160;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:21";1418.85;-1.0;-0.07;on time;on time;complete
4824;Star;9364722;"2018-04-06 09:07";60.0764;24.8964;22.3;360;358;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:28";1418.11;-0.14;0.08;on time;late arrival;complete
4825;Megastar;9773064;"2018-04-06 09:08";59.5259;24.7236;23.5;160;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:26";1418.93;-1.0;0.02;on time;late arrival;complete
4826;Star;9364722;"2018-04-06 09:09";60.0852;24.8967;22.3;4;4;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:22";"2018-06-04 09:19";1417.96;-0.14;-0.05;on time;on time;complete
4827;Megastar;9773064;"2018-04-06 09:09";59.5196;24.7283;23.3;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:28";1418.96;-1.0;0.05;on time;late arrival;complete
4828;Star;9364722;"2018-04-06 09:10";60.0894;24.8975;21.2;4;5;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:18";1417.94;-0.14;-0.08;on time;on time;complete
4829;Megastar;9773064;"2018-04-06 09:10";59.5133;24.733;23.6;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:23";1418.88;-1.0;-0.03;on time;on time;complete
4830;Star;9364722;"2018-04-06 09:11";60.0955;24.8991;20.0;8;9;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:24";1418.04;-0.14;0.02;on time;late arrival;complete
4831;Megastar;9773064;"2018-04-06 09:11";59.507;24.7377;23.5;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:26";1418.93;-1.0;0.02;on time;late arrival;complete
4832;Star;9364722;"2018-04-06 09:12";60.1017;24.9012;17.9;9;9;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:21";1417.99;-0.14;-0.03;on time;on time;complete
4833;Megastar;9773064;"2018-04-06 09:13";59.5007;24.7424;23.5;159;161;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:25";"2018-06-04 09:30";1419.0;-1.0;0.08;on time;late arrival;complete
4834;Star;9364722;"2018-04-06 09:13";60.1064;24.903;16.8;11;10;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:33";1418.19;-0.14;0.17;on time;late arrival;complete
4835;Megastar;9773064;"2018-04-06 09:14";59.4944;24.7469;23.3;160;162;FIHEL;EETLL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 06:30:14";"2018-04-06 09:30";"2018-06-04 09:24";"2018-06-04 09:32";1419.03;-1.0;0.13;on time;late arrival;complete
4836;Star;9364722;"2018-04-06 09:14";60.1115;24.9048;16.1;5;5;EETLL;FIHEL;"2018-04-06 07:30";"2018-04-06 07:30";"2018-04-06 07:21:24";"2018-04-06 09:30";"2018-06-04 09:23";"2018-06-04 09:29";1418.13;-0.14;0.1;on time;late arrival;complete
